48,68.11,76.62,72.03,68.34,74.27,80.84,67.33,71.2,67.87,49.43,75.04,75.32,81.25,65.33,79.07,66.57,66.65,60.45,48.91,51.63,40.41,79.41,58.01,65.36,62.45,60.14,59.78,55.54,56.91,67.59,53.8,59.59,64.4,59.38,63.3,63.3,55.3,56.11,69.69,73.23,61.29,76.03,56.36,54.15,73.53,62.89,59.78,64.61,64.57,65.45,
51,65.92,77.33,72.98,68.13,75.78,,68.29,70.05,69.03,50.29,78.52,76.04,80.62,63.83,80.14,64.89,64.46,61.11,47.89,,,80.1,57.46,62.27,63.69,59.9,60.77,53.82,54.57,69.71,52.75,59.07,63.19,,64.37,65.55,55.94,55.05,69.1,74.97,63.01,76.1,58.42,53.73,71.58,63.04,61.47,63.81,,62.3,
54,68.33,78.49,72.5,69.12,73.56,,66.39,,68.53,48.12,76.56,79.43,82.56,67.44,80.06,66.58,66.9,60.89,48.11,,,80.92,57.12,63.16,63.21,60.63,62.25,51.92,56.51,69.11,52.77,56.59,64.21,,65.55,63.79,55.71,54.96,70.14,74.27,62.99,,56.88,53.55,71.69,65.09,61.43,63.78,,64.27,
57,68.89,79.55,74.94,67.85,72.61,,63.04,,,51.1,80.65,75.35,84.61,68.8,76.55,66.71,67.29,61.68,47.19,,,78.13,58.18,64.93,65.58,,63.43,55.11,55.87,69.77,51.43,57.79,63.36,,65.32,62.76,56.44,55.02,71.93,73.67,63.56,,60.13,53.73,68.86,64.17,61.75,67.1,,64.33,
60,70.49,78.05,71.61,69.88,73.42,,62.77,,,49.37,80.01,75.76,83.76,69.29,,69.09,65.93,62.01,48.28,,,77.15,57.47,62.91,63.26,,66.78,54.63,55.96,71.49,52.8,56.92,65.04,,62.95,63.54,56.96,55.56,71.83,,63.75,,61.07,53.66,,65.79,64.17,68.44,,62.73,
63,71.6,81.53,71.9,71.17,73.73,,63.06,,,51.03,81.35,76.23,84.27,70.61,,68.71,64.16,62.05,,,,,60.71,63.3,64.35,,66.06,54.24,59.35,70.2,50.95,56.81,66.33,,63.68,63.7,56.21,53.93,71.8,,65.79,,59.24,54.45,,66.15,64.29,67.93,,61.74,
66,71.98,79.22,72.19,,72.1,,64.06,,,51.25,78.37,75.32,,71.23,,69.77,66.37,62.46,,,,,60.73,63.07,64.38,,67.09,53.79,59.14,66.64,,56.69,65.91,,,63.54,57.12,51.89,73.48,,66.27,,59.75,55.93,,67.59,64.31,70.77,,63.31,
69,72.83,80.08,71.02,,73.4,,64.67,,,50.48,79.52,75.53,,73.24,,69.72,63.64,59.73,,,,,60.26,65.17,63.63,,64.47,54.31,60.38,67.42,,54.39,66.64,,,64.22,56.46,52.75,72.31,,64.57,,60.23,56.24,,66.94,65.32,70.83,,61.93,
72,75.66,81.24,69.74,,72.69,,66.52,,,52.67,79.26,75.51,,71.45,,70.25,66.39,59.84,,,,,61.01,66.53,63.36,,64.98,54.44,60.51,67.02,,,64.77,,,64.24,57.27,,73,,67.19,,61.61,56.3,,64.58,64.76,69.27,,65.42,
75,75.37,80.48,68.14,,72.77,,65.02,,,52.28,80.55,75.69,,,,71.03,66.89,58.09,,,,,61.33,65.55,61.69,,63.23,55.9,60.11,65.56,,,,,,65.04,54.61,,72.67,,63.76,,60.12,56.04,,67.74,65.34,69.62,,67.15,
