30,26.99,24.97,33.71,26.55,22,45.83,33.92,30.63,35.13,21.69,28.7,29.24,36.98,30.72,32.57,25.49,15.13,17.07,41.37,34.38,29.45,41.46,30.81,16.25,19.15,24.46,17.91,22.69,32.02,34.97,31.83,21.69,31.82,29.74,35.46,34.99,24.21,30.1,25.92,26.02,22.29,32.42,30.68,28.96,32.52,25.1,37.85,30.06,61.35,22.96,21.89
33,26.6,25.82,33.09,27.07,22.91,46.01,34.42,33.31,34.86,21.69,28.97,29.02,38.86,30.72,33.11,26.31,17.66,17.9,41.95,32.17,32.03,42.75,31.37,19,20.36,24.47,18.1,23.58,33.87,35.33,33.98,24.82,32.99,30.03,34.61,36.46,26.41,30.46,27.36,26.22,23.01,34.18,30.39,29.77,33.32,28.22,36.68,29,59.45,23.79,25.71
36,27.32,25.58,35.4,29.45,23.79,45.35,35.74,33.03,34.78,22.6,30.47,31.34,39.1,30.33,34.51,26.51,20.46,17.93,42.73,34.27,31.94,46.28,31.87,19.29,24.59,24.26,20.51,24.67,33.75,35.97,35.21,27.49,32.18,29.65,34.25,34.75,26.18,31.49,29.8,28.82,25.03,32.9,31.52,30.3,33.55,29.77,37.69,30.31,57.06,24.19,25.37
39,27.48,26.28,37.84,28.42,27.45,46.56,35.37,31.88,34.15,23.82,30.85,32.82,41.73,31.87,34.37,23.88,20.79,16,43.79,32.03,32.45,45.91,32.08,20.61,21.71,24.9,22.03,23.12,37.56,36.32,34.85,27.76,34.18,32.1,35.14,38.35,27.12,31.14,30.9,29.13,25.56,34.47,31.37,31.22,33.85,28.54,37.59,32.02,56.68,26.78,25.01
42,27.48,25.91,37.17,28.93,28.31,47.03,35.17,33.33,33.19,22.19,31.47,33.1,44.37,32.87,33.31,25.25,21.9,18.35,43.2,33.48,32.16,48.97,33.37,21.01,21.9,26.68,21.09,22.32,37.76,36.93,35.15,29.09,33.53,31.74,35.88,40.87,27.59,33.35,28.88,28.21,24.99,36.33,30.78,31.68,35.13,29.77,37.68,30.81,59.13,24.77,27.77
45,26.77,25.85,38.16,27.28,29.73,44.33,36.39,31.34,33.34,22.46,32.42,33.29,45.8,33.29,34.44,26.04,23.54,17.59,43.68,31.34,32.6,49.01,33.63,21,24.56,28.27,21.39,25.8,38.59,37.32,33.22,29.36,33.74,36.24,34.79,39.06,28.75,39.08,30.7,27.61,25.27,37.28,31.89,31.93,34.35,31.51,39.02,30.89,58.98,25.88,25.79
48,28.04,26.32,39.36,29.66,30.58,45.19,38.15,31.28,33.11,23.53,33.33,34,44.02,32.99,36.33,27.09,22.54,18.54,43.74,33.45,33.74,46.1,34.62,21.07,27.73,25.85,23.9,25,38.44,37.6,32.28,29.09,34.62,31.68,36.5,39.5,28.69,40.18,31.2,28.7,26.54,38.47,32.46,31.71,35.51,32.43,38.52,34.76,57.93,24.83,
51,28.68,27.76,37.59,28.48,31.59,,38.03,31.87,33.38,23.41,32.85,33.69,44.26,34.14,33.96,28.82,25.6,19.54,44.09,,,47.02,36.65,22.42,27.91,25.63,24.6,26.05,39.32,38.3,34.66,29.42,36.58,,35.08,40.36,28.61,40.01,31.78,26.34,25.48,,33.2,32.02,35.87,32.54,40.05,33.81,,26.55,
54,28.15,27.82,38.34,30.3,31.71,,39.73,,33.33,24.91,33.89,33.44,43.24,33.8,34.55,29.95,24.71,19.66,44.44,,,47.41,36.46,23.27,28.52,27.09,23.5,28.48,39.3,38.61,33.02,29.27,37.67,,33.32,40.46,29.38,42.21,31.46,28.62,25.69,,34.89,32.95,38.18,32.99,38.82,35.42,,27.62,
57,28.92,28.02,39.05,29.13,33.3,,40.38,,,23.92,34.19,35.71,41.74,34.49,35.8,30.54,24.11,19.83,43.99,,,47.93,36.78,22.05,29.45,,22.6,28.16,40.24,38.59,31.06,28.82,39.19,,33.13,42.44,29.13,40.25,30.94,26.59,24.83,,34.62,34.61,38.41,32.63,40.31,34.29,,27.42,
60,28.07,30.05,41.04,29.74,32.88,,40.85,,,25.24,34.79,35.4,42.48,34.14,,30.34,24.81,21.21,44.77,,,48.31,38.57,23.76,30.73,,23.75,29.47,40.29,37.25,33.36,29.36,35.96,,36.82,44.7,28.29,40.33,32.31,,25.64,,35.74,34.98,,34.06,39.78,36.86,,27.99,
63,30.58,28.51,44.67,27.86,33.98,,43.02,,,26.6,34.02,36.69,42.58,34.59,,27.63,26.13,21.91,,,,,39.12,23.64,32.02,,24.94,29.58,37.31,39.04,32.81,29.76,35.89,,35.64,43.6,29.03,40.21,33.03,,26.6,,37.1,35.69,,33.95,40.2,37.92,,28.49,
66,29.82,30.29,44.09,,34.39,,41.1,,,26.9,35.34,35.94,,33.78,,30.6,26.76,22.28,,,,,39.14,24.68,32.61,,24.74,29.46,37.27,39.36,,30.05,35.25,,,43.31,29.16,38.98,33.57,,26.54,,36.05,36.45,,34.45,39.08,38.07,,28.69,
69,30.9,30.77,43.53,,34.82,,41.65,,,27.47,35.81,36.72,,34.13,,32.1,25.88,25.36,,,,,40.5,25.28,32.4,,24.79,30.36,36.58,38.55,,30.43,35.72,,,43.37,29.08,38.35,33.5,,26.66,,37.61,37.02,,34.31,37.7,39.37,,30.12,
72,33.01,31.17,47.77,,36.03,,43.84,,,26.91,37.55,36.62,,34.09,,31.66,26.81,24.03,,,,,40.82,24.21,34.03,,24.8,30.39,35.91,38.99,,,36.94,,,42.87,29.38,,34.89,,28.73,,39.21,38.23,,36,37.78,39.53,,29.67,
75,34.5,30.93,52.96,,35.74,,39.76,,,28.68,38.69,37.47,,,,32.3,26.98,25.89,,,,,39.52,26.1,34.74,,24.99,31.12,37.19,38.93,,,,,,42.91,29.66,,35.74,,27.95,,39.63,38.99,,35.28,38.2,39.07,,31.04,
78,31.96,31.14,54.62,,36.38,,38.25,,,28.69,39.26,37.88,,,,30.67,27.96,26.52,,,,,41.82,25.65,34.46,,25.32,31.49,36.71,37.62,,,,,,44.31,29.62,,34.57,,27.97,,39.56,39.34,,36.28,37.82,39.6,,30.4,
81,31.26,32.53,54.1,,34.47,,,,,29.56,40.16,38.38,,,,34.25,,27.27,,,,,42.52,26.35,34.15,,22.6,32.38,37.7,,,,,,,45.37,29.4,,37.56,,28.24,,41.17,39.64,,35.71,38.08,39.82,,30.68,
84,32.48,31.96,58.56,,35.83,,,,,29.67,39.57,38.25,,,,33.83,,26.18,,,,,41.25,26.54,34.49,,,32.34,,,,,,,,43.96,29.04,,38.2,,26.67,,40.53,40.39,,36.65,,40.06,,31.55,
